0,1
35280,1
70560,1
105840,1
141120,1
176400,1
211680,1
246960,1
282240,1
317520,1
352800,1
388080,1
423360,1
458640,1
493920,1
529200,1
564480,1
599760,1
635040,1
670320,1
705600,1
740880,1
776160,1
811440,1
846720,1
882000,1
917280,1
952560,1
987840,1
1023120,1
1058400,1
1093680,1
1128960,1
1164240,1
1199520,1
1234800,1
1270080,1
1305360,1
1340640,1
1375920,1
1411200,1
1446480,1
1481760,1
1517040,1
1552320,1
1587600,1
1622880,1
1658160,1
1693440,1
1728720,1
1764000,1
1799280,1
1834560,1
1869840,1
1905120,1
1940400,1
1975680,1
2010960,1
2046240,1
2081520,1
2116800,1
2152080,1
2187360,1
2222640,1
2257920,1
2293200,1
2328480,1
2363760,1
2399040,1
2434320,1
2469600,1
2504880,1
2540160,1
2575440,1
2610720,1
2646000,1
2681280,1
2716560,1
2751840,1
2787120,1
2822400,1
2857680,1
2892960,1
2928240,1
2963520,1
2998800,1
3034080,1
3069360,1
