vars,id,creation_time,failed,failed_reason,time_of_death,type,max_size,full,role,n_pending_infos,n_completed_infos,n_failed_infos,n_alive_nodes,n_failed_nodes,trial_maker_id,module_id,target_n_trials,participant_group,sync_group_type,sync_group_id,participant_id,async_post_grow_network_required,async_post_grow_network_requested,async_post_grow_network_complete,async_post_grow_network_failed,id_within_participant,n_all_trials,n_alive_trials,n_failed_trials,n_completed_trials,n_all_nodes,chain_type,head_id,trials_per_node,definition,context,block,class,object_type
{},1,2025-04-13 15:39:28,False,,,StaticNetwork,1,False,default,0,1,0,1,0,music_tapping,music_tapping,1000000,default,,,,False,False,False,False,,1,1,0,1,1,across,1,1000000,{},,default,StaticNetwork,Network
{},2,2025-04-13 15:39:28,False,,,StaticNetwork,1,False,default,0,1,0,1,0,music_tapping,music_tapping,1000000,default,,,,False,False,False,False,,1,1,0,1,1,across,2,1000000,{},,default,StaticNetwork,Network
