vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,module_state_id,is_global,on_deploy_complete,async_on_deploy_required,async_on_deploy_requested,async_on_deploy_complete,async_on_deploy_failed,key,degree,target_n_trials,ready_to_spawn,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
{},1,2025-04-13 15:39:28,False,,,TrialSource,1,,music_tapping,music_tapping,,1,True,False,False,False,False,,0,1000000,False,,,{},"{""stim_name"": ""music_1"", ""audio_filename"": ""music/music_1.wav""}",,default,default,False,1,StaticNode,Node
{},2,2025-04-13 15:39:28,False,,,TrialSource,2,,music_tapping,music_tapping,,1,True,False,False,False,False,,0,1000000,False,,,{},"{""stim_name"": ""music_2"", ""audio_filename"": ""music/music_2.wav""}",,default,default,False,1,StaticNode,Node
