arguments,vars,id,creation_time,failed,failed_reason,time_of_death,label,function,pending,finished,time_started,time_finished,time_taken,_unique_key,participant_id,trial_maker_id,network_id,node_id,trial_id,response_id,asset_id,type,class,object_type
"{""asset"": {""py/object"": ""psynet.trial.record.RecordingAnalysisPlot"", ""identifiers"": {""id"": 8}}, ""host_path"": ""experiments/beat-finding-experiment__mode=debug__launch=2025-04-13--15-39-28/music_tapping/participants/participant_1/node_1__trial_1__recording_analysis_plot__c541389e-a6a8-4e6c-a8b8-fd411fbab68f.png"", ""delete_input"": true, ""self"": {""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/Users/liamwells/psynet-data/assets""}}",{},2,2025-04-13 15:43:12,False,,,_call_receive_deposit,"{""py/function"": ""psynet.asset.AssetStorage._call_receive_deposit""}",False,True,2025-04-13 15:43:12,2025-04-13 15:43:12,0.04261841904371977,,1,,,,,,8,LocalAsyncProcess,LocalAsyncProcess,AsyncProcess
"{""asset"": {""py/object"": ""psynet.trial.record.RecordingAnalysisPlot"", ""identifiers"": {""id"": 10}}, ""host_path"": ""experiments/beat-finding-experiment__mode=debug__launch=2025-04-13--15-39-28/music_tapping/participants/participant_1/node_2__trial_2__recording_analysis_plot__301a42f4-da8b-41c7-a93c-467b5e9e21bb.png"", ""delete_input"": true, ""self"": {""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/Users/liamwells/psynet-data/assets""}}",{},4,2025-04-13 15:44:32,False,,,_call_receive_deposit,"{""py/function"": ""psynet.asset.AssetStorage._call_receive_deposit""}",False,True,2025-04-13 15:44:33,2025-04-13 15:44:33,0.04237848799675703,,1,,,,,,10,LocalAsyncProcess,LocalAsyncProcess,AsyncProcess
